stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,delivery_conversion,swarm_efficiency
stage1a_single_agent_miniscule,1,1,120,1,1,50,50,1,0,-3.8467228412628174,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,220,2,1,50,50,1,0,188.71487426757812,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,100,97,97,0,1.0,0.04
stage1a_single_agent_miniscule,1,1,340,3,1,50,50,1,0,91.84025573730469,2.0,2.0,2.0,0.3333333333333333,0.0,0,0,2,120,97,97,0,1.0,0.016666666666666666
stage1a_single_agent_miniscule,1,1,353,4,1,50,50,1,0,191.91738891601562,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,13,10,10,0,1.0,0.3076923076923077
stage1a_single_agent_miniscule,1,1,357,5,1,50,50,1,0,191.46200561523438,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,1.0
stage1a_single_agent_miniscule,1,1,393,6,1,50,50,1,0,190.38442993164062,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,36,33,33,0,1.0,0.1111111111111111
stage1a_single_agent_miniscule,1,1,513,7,1,50,50,1,0,-2.9104294776916504,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,633,8,1,50,50,1,0,-4.4552388191223145,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,753,9,1,50,50,1,0,-3.359938144683838,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,873,10,1,50,50,1,0,-1.5386557579040527,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,906,11,1,50,50,1,0,190.18682861328125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,33,28,28,0,1.0,0.12121212121212122
stage1a_single_agent_miniscule,1,1,1026,12,1,50,50,1,0,-2.2972919940948486,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,1146,13,1,50,50,1,0,-2.983276844024658,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,1290,14,1,75,75,1,0,-3.084575891494751,0.0,0.0,0.0,0.375,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,1410,15,1,75,75,1,0,21.856372833251953,3.0,3.0,0.0,0.3125,0.0,0,0,1,120,107,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,1451,16,1,75,75,1,0,31.322235107421875,4.0,4.0,0.0,0.3125,0.0,0,0,0,41,36,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,1571,17,1,75,75,1,0,-1.608306646347046,0.0,0.0,0.0,0.375,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,1639,18,1,75,75,1,0,110.96359252929688,4.0,4.0,2.0,0.3125,0.0,0,0,0,68,16,67,51,0.5,0.029411764705882353
stage1b_single_agent_tiny,2,1,1717,19,1,75,75,1,0,30.572948455810547,4.0,4.0,0.0,0.3125,0.0,0,0,0,78,72,-1,-1,0.0,0.0
