stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,delivery_conversion,carrying_stall_events,carrying_stall_fraction,carrying_low_progress_fraction,carrying_low_displacement_fraction,carrying_penalty_total,non_carrying_nest_loiter_fraction,non_carrying_nest_crowding_fraction,non_carrying_nest_penalty_total,swarm_efficiency
stage1a_single_agent_miniscule,1,1,80,1,1,50,50,1,0,189.72000122070312,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,80,75,75,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
stage1a_single_agent_miniscule,1,1,200,2,1,50,50,1,0,-3.1767678260803223,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stage1a_single_agent_miniscule,1,1,320,3,1,50,50,1,0,-2.5882508754730225,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stage1a_single_agent_miniscule,1,1,375,4,1,50,50,1,0,190.75994873046875,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,55,52,52,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727272727272
stage1a_single_agent_miniscule,1,1,379,5,1,50,50,1,0,192.01199340820312,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage1a_single_agent_miniscule,1,1,458,6,1,50,50,1,0,190.30718994140625,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,79,76,76,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05063291139240506
stage1a_single_agent_miniscule,1,1,462,7,1,50,50,1,0,191.96200561523438,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage1a_single_agent_miniscule,1,1,564,8,1,50,50,1,0,188.96151733398438,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,102,99,99,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098
stage1a_single_agent_miniscule,1,1,568,9,1,50,50,1,0,191.46200561523438,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage1a_single_agent_miniscule,1,1,603,10,1,50,50,1,0,190.88870239257812,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,35,30,30,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428
stage1a_single_agent_miniscule,1,1,657,11,1,50,50,1,0,190.75616455078125,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,54,51,51,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407
stage1a_single_agent_miniscule,1,1,696,12,1,50,50,1,0,190.65902709960938,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,39,36,36,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256
stage1a_single_agent_miniscule,1,1,816,13,1,50,50,1,0,-4.186931133270264,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stage1a_single_agent_miniscule,1,1,847,14,1,50,50,1,0,190.7701416015625,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,31,28,28,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613
stage1a_single_agent_miniscule,1,1,943,15,1,50,50,1,0,189.891357421875,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,96,93,93,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
stage1a_single_agent_miniscule,1,1,1044,16,1,50,50,1,0,190.84036254882812,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,101,98,98,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039603960396039604
